Name,Industry,Location,Csize,Website,Funding Stage,Funding Amount,Contact Numbers of decision-makers
Constellation Advisers,Management Consulting,"New York,United States",51-200',https://www.constellationadvisers.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Endpoint Protector,Computer & Network Security,"Cluj-napoca,Romania",51-200',http://www.endpointprotector.com,private equity funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Matera,Computer Software,"So Paulo,Brazil",501-1000',http://matera.com,private equity funding,R$100M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Neuroplast,Biotechnology,"Sittard-geleen,The Netherlands",11-50',https://www.neuroplast.com,undisclosed,$4.319M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Sqi Diagnostics,Biotechnology,"Toronto,Canada",51-200',http://sqidiagnostics.com,undisclosed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Naturgy,Renewables And Environment,"Madrid,Spain",1001-5000',https://www.naturgy.com,undisclosed,$647.85M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Wombat Invest,Financial Services,"London,United Kingdom",11-50',https://www.wombatinvest.com,equity crowdfunding,£200K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
The Ink Factory,Media Production,"London,United Kingdom",11-50',https://inkfactoryfilms.com,corporate funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Comvest Partners,Venture Capital & Private Equity,"West Palm Beach,United States",51-200',http://comvest.com,corporate funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Nearst,Internet,"London,United Kingdom",11-50',https://near.st,seed,£5.2M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Huntress,Information Technology And Services,United States,11-50',https://huntress.com,series a,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Whatshalal,Information Technology And Services,"Singapore,Singapore",11-50',https://whatshalal.com,seed,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Trality,Information Technology And Services,"Vienna,Austria",1-10',http://www.trality.com,grant,€1.7M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Loyalty Prime,Information Technology And Services,"Munich,Germany",51-200',http://www.loyaltyprime.com,series b,$5.39825M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Eureka,Information Technology And Services,"Jakarta,Indonesia",11-50',https://eureka.ai,series b,$20M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Imerit,Information Technology And Services,"Kolkata,India",1001-5000',http://imerit.net,series b,$20M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Maxwholesale,Internet,"Delhi,India",11-50',http://maxwholesale.com,series a,$3M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Be My Eyes,Computer Software,"San Francisco,United States",51-200',http://bemyeyes.com,series a,$2.8M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Algo,Computer Software,"Troy,United States",51-200',https://algo.com,series a,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Sanfe,"Health, Wellness And Fitness","Delhi,India",11-50',https://sanfe.in,seed,$1.117607M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Sharpist,Professional Training And Coaching,"Berlin,Germany",51-200',https://www.sharpist.com,seed,$5M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Credify,Computer Software,"Singapore,Singapore",11-50',https://credify.one,seed,$1M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Semios,Information Technology And Services,"Vancouver,Canada",51-200',http://semios.com,private equity funding,CA$25M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Dropps,Consumer Goods,"Philadelphia,United States",11-50',https://www.dropps.com,venture funding,$16M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Ortharize,"Leisure, Travel & Tourism","London,United Kingdom",1-10',https://www.ortharize.com,equity crowdfunding,£500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Blue Bird,Automotive,"Jakarta,Indonesia",501-1000',http://www.bluebirdgroup.com,corporate funding,$30M,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Jasure,Information Technology And Services,"Sandton,South Africa",1-10',https://www.jasure.com,corporate funding,undisclosed,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
Neuropore Therapies,Pharmaceuticals,"San Diego,United States",11-50',http://www.neuropore.com,grant,$500K,https://chrome.google.com/webstore/detail/mr-e-find-b2b-contacts-un/haphbbhhknaonfloinidkcmadhfjoghc
